Date : 2023-01-31 22:43:03
Directory : /Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks
Total : 69 files,  16112 codes, 318 comments, 418 blanks, all 16848 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     13,332 |          0 |          2 |     13,334 |
| CSS        |         26 |      1,411 |        144 |        198 |      1,753 |
| JavaScript |         38 |      1,353 |        174 |        213 |      1,740 |
| HTML       |          1 |         13 |          0 |          2 |         15 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |         69 |     16,112 |        318 |        418 |     16,848 |
| . (Files)                                                                                                                  |          5 |     13,386 |         24 |          8 |     13,418 |
| client                                                                                                                     |         56 |      2,333 |        205 |        323 |      2,861 |
| client/dist                                                                                                                |          1 |         13 |          0 |          2 |         15 |
| client/src                                                                                                                 |         55 |      2,320 |        205 |        321 |      2,846 |
| client/src (Files)                                                                                                         |          4 |        107 |         39 |         27 |        173 |
| client/src/components                                                                                                      |         51 |      2,213 |        166 |        294 |      2,673 |
| client/src/components (Files)                                                                                              |         10 |        632 |        102 |        103 |        837 |
| client/src/components/modules                                                                                              |         21 |        354 |         15 |         51 |        420 |
| client/src/components/modules (Files)                                                                                      |         15 |        252 |         15 |         38 |        305 |
| client/src/components/modules/profile                                                                                      |          6 |        102 |          0 |         13 |        115 |
| client/src/components/pages                                                                                                |         20 |      1,227 |         49 |        140 |      1,416 |
| server                                                                                                                     |          8 |        393 |         89 |         87 |        569 |
| server (Files)                                                                                                             |          5 |        363 |         88 |         78 |        529 |
| server/models                                                                                                              |          3 |         30 |          1 |          9 |         40 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                   | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/.prettierrc                                            | JSON       |          9 |          0 |          0 |          9 |
| /Users/spencerlin/Desktop/landondolvin-spencerlin123-BenjaminEbanks/README.md                                              | Markdown   |          3 |          0 |          3 |          6 |
